% Model,2D_ICP_pressure_power_mph.mph,,,,,
% Version,COMSOL 6.0.0.405,,,,,
% Date,"Oct 23 2022, 22:03",,,,,
% Dimension,2,,,,,
% Nodes,3263,,,,,
% Expressions,5,,,,,
% Description,Electron density,,,,,
% Length unit,mm,,,,,
% r,z,plas.ne (1/m^3) @ 208: Time=0.1 s /  p0=5.3329 Pa /  Power=100 W,plas.ne (1/m^3) @ 208: Time=0.1 s /  p0=5.3329 Pa /  Power=200 W,plas.ne (1/m^3) @ 208: Time=0.1 s /  p0=5.3329 Pa /  Power=300 W,plas.ne (1/m^3) @ 208: Time=0.1 s /  p0=5.3329 Pa /  Power=400 W,plas.ne (1/m^3) @ 208: Time=0.1 s /  p0=5.3329 Pa /  Power=500 W
187,-6.818181818,1.06E+14,2.24E+14,3.42E+14,4.60E+14,5.79E+14
187.7648119,-6.818181818,1.66E+14,3.65E+14,5.68E+14,7.74E+14,9.80E+14
225,78.326359,1.57E+14,3.35E+14,5.14E+14,6.94E+14,8.75E+14
225,83.2,1.63E+14,3.46E+14,5.32E+14,7.19E+14,9.06E+14
224.3224873,78.326359,3.40E+14,7.81E+14,1.24E+15,1.71E+15,2.19E+15
221.6133475,85.08916236,6.61E+14,1.51E+15,2.39E+15,3.30E+15,4.21E+15
225,87.8,1.62E+14,3.45E+14,5.31E+14,7.18E+14,9.06E+14
224.4067267,91.80365558,2.30E+14,5.12E+14,8.05E+14,1.10E+15,1.40E+15
225,91.92158293,1.55E+14,3.32E+14,5.11E+14,6.92E+14,8.73E+14
0,4.594050799,1.68E+16,3.31E+16,4.91E+16,6.50E+16,8.07E+16
0,2.828238549,9.87E+15,1.97E+16,2.95E+16,3.91E+16,4.87E+16
3.973150503,4.002719909,1.47E+16,2.90E+16,4.30E+16,5.69E+16,7.08E+16
4.568829957,5.992545412,2.27E+16,4.44E+16,6.57E+16,8.68E+16,1.08E+17
0,7.493953556,2.84E+16,5.52E+16,8.16E+16,1.08E+17,1.34E+17
0,11.69169824,4.47E+16,8.66E+16,1.28E+17,1.68E+17,2.08E+17
5.189005082,9.720912242,3.75E+16,7.28E+16,1.07E+17,1.41E+17,1.75E+17
5.365570751,16.15244298,6.22E+16,1.20E+17,1.77E+17,2.32E+17,2.88E+17
0,19.06657191,7.26E+16,1.40E+17,2.05E+17,2.70E+17,3.34E+17
5.420442549,23.84512276,8.96E+16,1.72E+17,2.53E+17,3.32E+17,4.10E+17
0,28.32417332,1.04E+17,1.99E+17,2.91E+17,3.82E+17,4.72E+17
5.468068794,33.91598093,1.20E+17,2.30E+17,3.37E+17,4.42E+17,5.47E+17
0,38.85257872,1.32E+17,2.51E+17,3.68E+17,4.82E+17,5.95E+17
5.492516059,43.80711828,1.41E+17,2.70E+17,3.94E+17,5.17E+17,6.38E+17
0,47.25481549,1.46E+17,2.77E+17,4.05E+17,5.31E+17,6.55E+17
5.515561311,50.58949206,1.49E+17,2.83E+17,4.14E+17,5.42E+17,6.69E+17
0,54.00065546,1.50E+17,2.85E+17,4.16E+17,5.45E+17,6.73E+17
5.528953915,57.34132426,1.50E+17,2.85E+17,4.16E+17,5.45E+17,6.73E+17
0,60.74685042,1.48E+17,2.81E+17,4.11E+17,5.38E+17,6.64E+17
5.541928835,64.07740455,1.44E+17,2.75E+17,4.02E+17,5.27E+17,6.51E+17
0,69.35626511,1.36E+17,2.60E+17,3.80E+17,4.98E+17,6.15E+17
5.712810543,70.93495596,1.33E+17,2.55E+17,3.73E+17,4.89E+17,6.03E+17
0,80.40561449,1.05E+17,2.01E+17,2.95E+17,3.87E+17,4.78E+17
5.744549729,84.94541048,9.14E+16,1.76E+17,2.58E+17,3.39E+17,4.20E+17
0,89.69560361,7.41E+16,1.43E+17,2.10E+17,2.76E+17,3.42E+17
5.608358413,92.30942719,6.48E+16,1.25E+17,1.84E+17,2.42E+17,3.00E+17
0,96.44802976,4.78E+16,9.23E+16,1.36E+17,1.79E+17,2.22E+17
0,105.3134856,1.09E+16,2.14E+16,3.18E+16,4.20E+16,5.21E+16
0,103.05152,2.04E+16,3.96E+16,5.84E+16,7.71E+16,9.56E+16
5.277939828,104.2292593,1.56E+16,3.04E+16,4.50E+16,5.94E+16,7.37E+16
0,100.7895543,2.99E+16,5.80E+16,8.55E+16,1.13E+17,1.40E+17
6.801637181,102.0471011,2.50E+16,4.86E+16,7.17E+16,9.46E+16,1.17E+17
5.687819811,98.176899,4.12E+16,7.96E+16,1.17E+17,1.55E+17,1.92E+17
222.0382643,-143.1818182,3.38E+12,7.43E+12,1.16E+13,1.57E+13,1.99E+13
218.5450081,-139.8883977,3.71E+12,8.14E+12,1.27E+13,1.72E+13,2.18E+13
222.0293454,-136.3636364,3.64E+12,8.00E+12,1.24E+13,1.69E+13,2.14E+13
206.046284,-140.0061204,4.08E+12,8.95E+12,1.39E+13,1.89E+13,2.39E+13
213.1497285,-139.965218,3.95E+12,8.67E+12,1.35E+13,1.83E+13,2.32E+13
215.4008188,-135.2883978,4.10E+12,9.01E+12,1.40E+13,1.90E+13,2.41E+13
219.1297557,-132.9288785,4.05E+12,8.88E+12,1.38E+13,1.88E+13,2.38E+13
222.0209937,-129.5454545,4.09E+12,8.97E+12,1.40E+13,1.90E+13,2.40E+13
199.1208826,-140.0314833,4.00E+12,8.78E+12,1.37E+13,1.86E+13,2.35E+13
202.739222,-135.8117977,4.29E+12,9.42E+12,1.46E+13,1.99E+13,2.52E+13
210.3602566,-134.1200217,4.35E+12,9.56E+12,1.49E+13,2.02E+13,2.56E+13
215.0433201,-130.0319979,4.51E+12,9.90E+12,1.54E+13,2.09E+13,2.65E+13
219.2550102,-126.8248282,4.55E+12,9.99E+12,1.55E+13,2.11E+13,2.67E+13
222.0141471,-122.7272727,4.75E+12,1.04E+13,1.62E+13,2.20E+13,2.79E+13
189.8764678,-143.1818182,3.45E+12,7.58E+12,1.18E+13,1.60E+13,2.03E+13
193.227068,-139.2678403,3.79E+12,8.33E+12,1.30E+13,1.76E+13,2.23E+13
197.0410492,-134.2564663,4.25E+12,9.32E+12,1.45E+13,1.97E+13,2.49E+13
203.0549848,-130.5805318,4.70E+12,1.03E+13,1.60E+13,2.18E+13,2.76E+13
210.6621955,-127.1697395,4.96E+12,1.09E+13,1.69E+13,2.30E+13,2.91E+13
215.4518838,-123.8601214,5.12E+12,1.12E+13,1.75E+13,2.37E+13,3.00E+13
220.0626148,-122.1539264,5.00E+12,1.10E+13,1.70E+13,2.32E+13,2.93E+13
222.0093009,-115.9090909,5.65E+12,1.24E+13,1.92E+13,2.62E+13,3.31E+13
189.8928823,-136.3636364,3.72E+12,8.17E+12,1.27E+13,1.73E+13,2.19E+13
192.4644406,-132.1006248,4.16E+12,9.13E+12,1.42E+13,1.93E+13,2.44E+13
196.931355,-127.8619652,4.78E+12,1.05E+13,1.63E+13,2.22E+13,2.80E+13
203.4790116,-124.1285413,5.39E+12,1.18E+13,1.84E+13,2.50E+13,3.16E+13
211.0545643,-120.4151839,5.80E+12,1.27E+13,1.97E+13,2.68E+13,3.40E+13
215.8575731,-117.0575771,6.05E+12,1.33E+13,2.06E+13,2.80E+13,3.54E+13
219.6622063,-115.4056409,5.99E+12,1.31E+13,2.04E+13,2.77E+13,3.50E+13
222.0060715,-109.0909091,6.85E+12,1.50E+13,2.33E+13,3.16E+13,4.00E+13
189.9101478,-129.5454545,4.18E+12,9.17E+12,1.43E+13,1.94E+13,2.45E+13
192.3786991,-124.7302218,4.83E+12,1.06E+13,1.65E+13,2.24E+13,2.83E+13
196.4160466,-121.2569832,5.54E+12,1.21E+13,1.89E+13,2.56E+13,3.24E+13
203.6174152,-117.4431016,6.38E+12,1.40E+13,2.17E+13,2.95E+13,3.73E+13
211.2338556,-113.6816997,6.94E+12,1.52E+13,2.36E+13,3.21E+13,4.06E+13
216.2196046,-110.0435504,7.33E+12,1.60E+13,2.49E+13,3.39E+13,4.29E+13
219.6870268,-108.4932181,7.28E+12,1.59E+13,2.48E+13,3.36E+13,4.26E+13
222.0039482,-102.2727273,8.39E+12,1.83E+13,2.85E+13,3.87E+13,4.90E+13
189.9250757,-122.7272727,4.85E+12,1.06E+13,1.65E+13,2.25E+13,2.84E+13
192.2974894,-117.9944992,5.70E+12,1.25E+13,1.94E+13,2.64E+13,3.34E+13
196.4048262,-114.4749028,6.62E+12,1.45E+13,2.25E+13,3.06E+13,3.87E+13
203.1161867,-110.7012989,7.69E+12,1.68E+13,2.62E+13,3.55E+13,4.50E+13
211.319344,-106.9099417,8.45E+12,1.85E+13,2.87E+13,3.90E+13,4.94E+13
216.0426846,-103.4714043,8.95E+12,1.96E+13,3.04E+13,4.13E+13,5.23E+13
219.6785894,-101.567561,8.97E+12,1.96E+13,3.05E+13,4.14E+13,5.24E+13
222.0026028,-95.45454545,1.04E+13,2.26E+13,3.52E+13,4.78E+13,6.04E+13
189.9364845,-115.9090909,5.77E+12,1.26E+13,1.97E+13,2.67E+13,3.38E+13
192.3049543,-111.1968891,6.87E+12,1.50E+13,2.34E+13,3.17E+13,4.02E+13
196.5034996,-107.62221,8.07E+12,1.77E+13,2.74E+13,3.73E+13,4.71E+13
203.1660505,-103.8667729,9.45E+12,2.07E+13,3.21E+13,4.36E+13,5.52E+13
210.1386631,-100.3056547,1.04E+13,2.28E+13,3.55E+13,4.82E+13,6.09E+13
215.697216,-97.21715247,1.09E+13,2.39E+13,3.71E+13,5.04E+13,6.38E+13
219.703342,-94.88367684,1.11E+13,2.42E+13,3.75E+13,5.10E+13,6.45E+13
222.001902,-88.63636364,1.29E+13,2.81E+13,4.36E+13,5.92E+13,7.49E+13
189.9443844,-109.0909091,6.99E+12,1.53E+13,2.38E+13,3.23E+13,4.09E+13
192.2983985,-104.5957184,8.34E+12,1.82E+13,2.83E+13,3.85E+13,4.87E+13
196.8155581,-100.4990594,1.01E+13,2.20E+13,3.42E+13,4.65E+13,5.88E+13
203.233676,-97.0445516,1.17E+13,2.57E+13,3.98E+13,5.41E+13,6.85E+13
209.8962509,-93.57922601,1.30E+13,2.84E+13,4.41E+13,6.00E+13,7.59E+13
215.9118861,-90.09235926,1.37E+13,3.00E+13,4.66E+13,6.34E+13,8.02E+13
219.6957257,-88.17773807,1.37E+13,3.00E+13,4.66E+13,6.32E+13,8.00E+13
222.0017299,-81.81818182,1.60E+13,3.50E+13,5.43E+13,7.37E+13,9.32E+13
189.9493918,-102.2727273,8.57E+12,1.87E+13,2.91E+13,3.96E+13,5.00E+13
192.2612725,-95.83830608,1.09E+13,2.39E+13,3.71E+13,5.04E+13,6.38E+13
196.8735859,-93.35592485,1.27E+13,2.77E+13,4.30E+13,5.84E+13,7.39E+13
203.5387967,-90.12840757,1.48E+13,3.23E+13,5.02E+13,6.82E+13,8.62E+13
210.8572675,-86.68723046,1.63E+13,3.56E+13,5.54E+13,7.52E+13,9.52E+13
216.061114,-83.09063547,1.74E+13,3.79E+13,5.89E+13,8.00E+13,1.01E+14
219.7037082,-81.2560645,1.72E+13,3.76E+13,5.84E+13,7.94E+13,1.00E+14
222.0014767,-75,2.00E+13,4.35E+13,6.75E+13,9.17E+13,1.16E+14
189.9523668,-95.45454545,1.06E+13,2.31E+13,3.59E+13,4.88E+13,6.17E+13
192.2130174,-89.12938344,1.36E+13,2.96E+13,4.60E+13,6.25E+13,7.90E+13
196.0974167,-86.95852839,1.55E+13,3.39E+13,5.27E+13,7.16E+13,9.06E+13
203.5310424,-83.31479469,1.87E+13,4.09E+13,6.36E+13,8.64E+13,1.09E+14
211.3761054,-79.71056829,2.07E+13,4.54E+13,7.05E+13,9.59E+13,1.21E+14
216.0626656,-76.2552955,2.20E+13,4.81E+13,7.47E+13,1.02E+14,1.28E+14
219.6816845,-74.31468299,2.18E+13,4.75E+13,7.38E+13,1.00E+14,1.27E+14
222.0011069,-68.18181818,2.49E+13,5.43E+13,8.42E+13,1.14E+14,1.45E+14
189.9541683,-88.63636364,1.32E+13,2.87E+13,4.46E+13,6.05E+13,7.65E+13
192.2587076,-82.32472138,1.70E+13,3.71E+13,5.76E+13,7.82E+13,9.89E+13
196.3010227,-79.84133168,1.99E+13,4.34E+13,6.74E+13,9.17E+13,1.16E+14
203.7397182,-76.37040953,2.40E+13,5.27E+13,8.20E+13,1.11E+14,1.41E+14
210.3612546,-73.00435145,2.68E+13,5.87E+13,9.13E+13,1.24E+14,1.57E+14
215.7020662,-69.97477121,2.78E+13,6.08E+13,9.46E+13,1.29E+14,1.63E+14
219.7026524,-67.61992934,2.74E+13,5.99E+13,9.29E+13,1.26E+14,1.60E+14
222.0012147,-61.36363636,3.13E+13,6.81E+13,1.06E+14,1.43E+14,1.81E+14
189.9554192,-81.81818182,1.64E+13,3.57E+13,5.55E+13,7.53E+13,9.52E+13
192.2548161,-75.6147789,2.13E+13,4.64E+13,7.20E+13,9.78E+13,1.24E+14
197.1865351,-72.83740008,2.58E+13,5.66E+13,8.80E+13,1.20E+14,1.51E+14
203.9170041,-69.63264964,3.11E+13,6.85E+13,1.07E+14,1.45E+14,1.84E+14
209.8309804,-66.28311761,3.50E+13,7.71E+13,1.20E+14,1.64E+14,2.07E+14
215.8549311,-62.82835268,3.64E+13,7.99E+13,1.24E+14,1.69E+14,2.15E+14
219.6939397,-60.90475562,3.49E+13,7.63E+13,1.19E+14,1.61E+14,2.04E+14
222.0019114,-54.54545455,3.95E+13,8.61E+13,1.34E+14,1.82E+14,2.30E+14
189.9564838,-75,2.04E+13,4.45E+13,6.90E+13,9.37E+13,1.18E+14
192.2511713,-68.68306308,2.70E+13,5.89E+13,9.15E+13,1.24E+14,1.57E+14
196.6269419,-66.70172116,3.23E+13,7.08E+13,1.10E+14,1.50E+14,1.90E+14
203.204871,-62.90639399,4.10E+13,9.05E+13,1.41E+14,1.93E+14,2.44E+14
209.9457551,-59.3521867,4.70E+13,1.04E+14,1.62E+14,2.22E+14,2.81E+14
216.044241,-55.81788996,4.83E+13,1.07E+14,1.66E+14,2.27E+14,2.87E+14
219.7007677,-53.97263823,4.54E+13,9.96E+13,1.55E+14,2.11E+14,2.67E+14
222.0031754,-47.72727273,5.04E+13,1.10E+14,1.71E+14,2.33E+14,2.95E+14
189.9575616,-68.18181818,2.55E+13,5.56E+13,8.62E+13,1.17E+14,1.48E+14
219.6716991,-47.03946345,6.04E+13,1.33E+14,2.08E+14,2.83E+14,3.59E+14
222.0048223,-40.90909091,6.52E+13,1.43E+14,2.23E+14,3.03E+14,3.84E+14
192.2235908,-61.87035635,3.45E+13,7.54E+13,1.17E+14,1.59E+14,2.01E+14
196.1247154,-59.63877625,4.24E+13,9.33E+13,1.45E+14,1.98E+14,2.51E+14
203.3017502,-55.99551376,5.60E+13,1.24E+14,1.95E+14,2.66E+14,3.37E+14
209.8987695,-52.48255523,6.48E+13,1.44E+14,2.26E+14,3.08E+14,3.92E+14
216.0241249,-48.97630219,6.59E+13,1.46E+14,2.29E+14,3.12E+14,3.96E+14
189.9587421,-61.36363636,3.21E+13,6.99E+13,1.08E+14,1.47E+14,1.86E+14
219.6823779,-40.35287872,8.13E+13,1.81E+14,2.83E+14,3.86E+14,4.89E+14
222.0061604,-34.09090909,8.61E+13,1.90E+14,2.97E+14,4.05E+14,5.14E+14
216.0119122,-42.13295785,9.24E+13,2.07E+14,3.24E+14,4.43E+14,5.63E+14
192.2756596,-55.05952577,4.47E+13,9.81E+13,1.53E+14,2.08E+14,2.63E+14
196.4073112,-52.50844251,5.83E+13,1.29E+14,2.02E+14,2.75E+14,3.49E+14
203.117846,-49.21324591,7.84E+13,1.75E+14,2.75E+14,3.76E+14,4.78E+14
211.2850322,-45.62910992,9.00E+13,2.02E+14,3.17E+14,4.33E+14,5.51E+14
189.9602326,-54.54545455,4.06E+13,8.86E+13,1.38E+14,1.87E+14,2.36E+14
219.6570124,-33.64816691,1.13E+14,2.53E+14,3.97E+14,5.43E+14,6.90E+14
222.0054292,-27.27272727,1.17E+14,2.61E+14,4.10E+14,5.60E+14,7.11E+14
215.8934003,-35.37812982,1.34E+14,3.02E+14,4.75E+14,6.52E+14,8.29E+14
211.1831994,-38.82118537,1.32E+14,2.99E+14,4.71E+14,6.45E+14,8.21E+14
192.3141316,-48.34773568,5.89E+13,1.30E+14,2.03E+14,2.76E+14,3.50E+14
197.3981383,-45.53780465,8.46E+13,1.89E+14,2.96E+14,4.05E+14,5.14E+14
203.4157661,-42.45879348,1.14E+14,2.56E+14,4.02E+14,5.51E+14,7.01E+14
189.961885,-47.72727273,5.21E+13,1.14E+14,1.77E+14,2.40E+14,3.04E+14
219.9623377,-26.46364222,1.60E+14,3.62E+14,5.70E+14,7.81E+14,9.94E+14
222.0017751,-20.45454545,1.63E+14,3.68E+14,5.81E+14,7.96E+14,1.01E+15
216.035611,-28.11993519,2.04E+14,4.64E+14,7.33E+14,1.01E+15,1.28E+15
210.5292509,-31.87990615,2.06E+14,4.69E+14,7.41E+14,1.02E+15,1.30E+15
202.3317737,-35.82509524,1.68E+14,3.80E+14,6.00E+14,8.23E+14,1.05E+15
192.4602848,-41.47743749,8.11E+13,1.80E+14,2.81E+14,3.84E+14,4.87E+14
196.6734901,-39.22117283,1.16E+14,2.61E+14,4.10E+14,5.62E+14,7.14E+14
189.9633088,-40.90909091,6.79E+13,1.49E+14,2.32E+14,3.16E+14,4.00E+14
219.8573439,-19.27531602,2.45E+14,5.59E+14,8.85E+14,1.22E+15,1.55E+15
221.9991233,-13.63636364,2.33E+14,5.32E+14,8.42E+14,1.16E+15,1.48E+15
215.7798535,-21.61044098,3.15E+14,7.20E+14,1.14E+15,1.57E+15,2.00E+15
210.0961753,-25.22825113,3.23E+14,7.39E+14,1.17E+15,1.61E+15,2.05E+15
202.8422629,-28.96681833,2.63E+14,6.00E+14,9.49E+14,1.30E+15,1.66E+15
195.9758156,-32.36944015,1.67E+14,3.79E+14,5.97E+14,8.19E+14,1.04E+15
191.9410493,-34.65934689,1.10E+14,2.45E+14,3.85E+14,5.26E+14,6.68E+14
219.7880715,-12.33457281,3.77E+14,8.65E+14,1.37E+15,1.89E+15,2.42E+15
222.0033263,-6.818181818,3.36E+14,7.75E+14,1.23E+15,1.70E+15,2.17E+15
189.9639933,-34.09090909,9.14E+13,2.02E+14,3.16E+14,4.30E+14,5.46E+14
215.469166,-14.65947263,5.12E+14,1.18E+15,1.87E+15,2.57E+15,3.29E+15
210.2386096,-18.22149877,5.25E+14,1.21E+15,1.92E+15,2.64E+15,3.37E+15
203.081254,-22.24713271,4.22E+14,9.66E+14,1.53E+15,2.11E+15,2.69E+15
196.6458946,-26.06341928,2.61E+14,5.93E+14,9.38E+14,1.29E+15,1.64E+15
192.2143521,-29.64219637,1.48E+14,3.32E+14,5.23E+14,7.16E+14,9.11E+14
219.602391,-5.146408745,5.99E+14,1.39E+15,2.21E+15,3.05E+15,3.90E+15
222.0147842,1.91E-16,4.82E+14,1.12E+15,1.79E+15,2.48E+15,3.17E+15
215.0361297,-8.004583799,8.33E+14,1.92E+15,3.06E+15,4.22E+15,5.39E+15
219.4982918,2.490183468,9.46E+14,2.20E+15,3.51E+15,4.86E+15,6.21E+15
222.0262421,6.615218572,6.62E+14,1.55E+15,2.49E+15,3.44E+15,4.41E+15
189.9628296,-27.27272727,1.26E+14,2.82E+14,4.42E+14,6.04E+14,7.67E+14
209.8296432,-11.46066099,8.66E+14,1.99E+15,3.17E+15,4.37E+15,5.58E+15
202.0674223,-15.50791637,6.87E+14,1.58E+15,2.50E+15,3.45E+15,4.40E+15
196.5971592,-19.4948924,4.12E+14,9.42E+14,1.49E+15,2.05E+15,2.62E+15
192.4974917,-23.26812644,2.23E+14,5.05E+14,7.98E+14,1.09E+15,1.39E+15
214.9966482,-0.868174419,1.33E+15,3.09E+15,4.92E+15,6.78E+15,8.67E+15
210.233853,-3.985878631,1.47E+15,3.39E+15,5.39E+15,7.44E+15,9.50E+15
219.3183569,9.31452263,1.38E+15,3.22E+15,5.15E+15,7.11E+15,9.11E+15
222.0338091,13.23043714,8.68E+14,2.05E+15,3.29E+15,4.56E+15,5.85E+15
215.3022989,6.274621367,1.96E+15,4.56E+15,7.28E+15,1.01E+16,1.29E+16
189.9730521,-20.45454545,1.82E+14,4.09E+14,6.44E+14,8.83E+14,1.12E+15
202.8026784,-8.753886033,1.18E+15,2.71E+15,4.30E+15,5.93E+15,7.56E+15
196.6622962,-12.81225841,6.84E+14,1.57E+15,2.48E+15,3.42E+15,4.36E+15
191.8972097,-16.55022162,3.24E+14,7.37E+14,1.17E+15,1.60E+15,2.04E+15
220.0906631,14.09705039,1.47E+15,3.44E+15,5.52E+15,7.63E+15,9.77E+15
222.0359639,19.84565571,1.09E+15,2.59E+15,4.18E+15,5.79E+15,7.43E+15
202.5041078,-2.294519012,2.01E+15,4.63E+15,7.36E+15,1.01E+16,1.29E+16
209.3150995,2.773683388,2.44E+15,5.65E+15,9.00E+15,1.24E+16,1.59E+16
201.8846884,2.801812959,3.06E+15,7.05E+15,1.12E+16,1.54E+16,1.97E+16
215.9510513,12.70724955,2.50E+15,5.82E+15,9.30E+15,1.29E+16,1.64E+16
210.2897586,9.850513133,3.49E+15,8.09E+15,1.29E+16,1.78E+16,2.28E+16
220.2096053,20.5475225,1.80E+15,4.24E+15,6.80E+15,9.42E+15,1.21E+16
222.0352157,26.46087429,1.32E+15,3.13E+15,5.04E+15,7.00E+15,8.99E+15
220.2428786,27.28101839,2.16E+15,5.10E+15,8.18E+15,1.13E+16,1.45E+16
222.0346041,33.07609286,1.52E+15,3.63E+15,5.86E+15,8.14E+15,1.05E+16
189.4694908,-13.63636364,2.52E+14,5.68E+14,8.96E+14,1.23E+15,1.56E+15
188.9295938,-20.45454545,1.44E+14,3.21E+14,5.04E+14,6.89E+14,8.75E+14
195.8076656,-6.469332588,1.08E+15,2.46E+15,3.90E+15,5.37E+15,6.85E+15
192.0370226,-9.943529261,5.36E+14,1.22E+15,1.94E+15,2.66E+15,3.39E+15
217.1411437,19.63491253,2.87E+15,6.70E+15,1.07E+16,1.48E+16,1.90E+16
195.9742829,0.045097657,2.09E+15,4.77E+15,7.57E+15,1.04E+16,1.33E+16
197.4232002,5.207879975,3.91E+15,8.98E+15,1.43E+16,1.96E+16,2.50E+16
202.9822036,7.657434466,4.29E+15,9.90E+15,1.57E+16,2.17E+16,2.77E+16
211.3349807,16.30487952,4.38E+15,1.02E+16,1.62E+16,2.24E+16,2.87E+16
205.5301131,12.8679669,5.26E+15,1.22E+16,1.94E+16,2.68E+16,3.42E+16
220.4054225,34.03824633,2.42E+15,5.71E+15,9.19E+15,1.27E+16,1.63E+16
222.0371635,39.69131143,1.68E+15,4.01E+15,6.48E+15,9.01E+15,1.16E+16
220.4057995,40.56718424,2.66E+15,6.29E+15,1.01E+16,1.41E+16,1.80E+16
217.4863512,26.10629562,3.33E+15,7.80E+15,1.25E+16,1.73E+16,2.21E+16
217.7848677,32.78022092,3.73E+15,8.76E+15,1.41E+16,1.95E+16,2.49E+16
188.8355487,-6.818181818,2.62E+14,5.86E+14,9.21E+14,1.26E+15,1.60E+15
188.5156222,-13.63636364,1.82E+14,4.06E+14,6.36E+14,8.69E+14,1.10E+15
187.8342874,-13.63636364,1.38E+14,3.03E+14,4.72E+14,6.43E+14,8.14E+14
191.797577,-3.547808482,7.06E+14,1.59E+15,2.51E+15,3.43E+15,4.36E+15
213.0615407,23.19436737,4.91E+15,1.14E+16,1.83E+16,2.53E+16,3.23E+16
191.8001421,2.123945735,1.70E+15,3.86E+15,6.08E+15,8.32E+15,1.06E+16
194.0845812,6.949139628,4.62E+15,1.06E+16,1.68E+16,2.31E+16,2.94E+16
198.889153,10.95567855,6.05E+15,1.39E+16,2.22E+16,3.05E+16,3.90E+16
206.0362767,19.57426766,6.95E+15,1.61E+16,2.57E+16,3.54E+16,4.53E+16
200.3545979,16.66285836,7.94E+15,1.83E+16,2.92E+16,4.02E+16,5.14E+16
222.0478902,46.30653,1.79E+15,4.28E+15,6.92E+15,9.63E+15,1.24E+16
220.4836855,47.20959794,2.78E+15,6.59E+15,1.06E+16,1.48E+16,1.89E+16
217.8395803,39.69211539,4.14E+15,9.73E+15,1.56E+16,2.17E+16,2.78E+16
217.918155,46.30496277,4.37E+15,1.03E+16,1.66E+16,2.30E+16,2.95E+16
212.9022315,29.49045221,5.90E+15,1.38E+16,2.20E+16,3.05E+16,3.90E+16
214.1284758,36.21379558,6.06E+15,1.42E+16,2.27E+16,3.14E+16,4.03E+16
206.2214044,25.95460662,8.52E+15,1.98E+16,3.16E+16,4.36E+16,5.58E+16
188.7157205,5.319440847,3.03E+15,6.88E+15,1.09E+16,1.49E+16,1.89E+16
192.028677,10.31525505,6.74E+15,1.54E+16,2.45E+16,3.37E+16,4.29E+16
194.8060768,16.54951299,9.68E+15,2.23E+16,3.54E+16,4.87E+16,6.21E+16
198.9188755,22.3080739,1.08E+16,2.49E+16,3.96E+16,5.46E+16,6.97E+16
222.0719987,52.92174857,1.82E+15,4.36E+15,7.07E+15,9.84E+15,1.26E+16
220.445517,53.95221096,2.86E+15,6.81E+15,1.10E+16,1.53E+16,1.96E+16
217.8110561,52.98470446,4.57E+15,1.08E+16,1.74E+16,2.41E+16,3.09E+16
214.2979673,42.96529803,6.51E+15,1.53E+16,2.45E+16,3.39E+16,4.34E+16
214.5452416,50.04762377,6.68E+15,1.57E+16,2.52E+16,3.50E+16,4.48E+16
180.3214286,1.838726493,1.22E+15,2.84E+15,4.53E+15,6.23E+15,7.94E+15
173.6428571,1.524210296,1.44E+15,3.40E+15,5.42E+15,7.48E+15,9.54E+15
