r,z,pressure,ne
209.831,-66.2831,1.3332,1.13E+14
215.8549,-62.8284,1.3332,1.18E+14
219.6939,-60.9048,1.3332,1.18E+14
222.0019,-54.5455,1.3332,1.31E+14
189.9565,-75,1.3332,8.49E+13
192.2512,-68.6831,1.3332,1.00E+14
196.6269,-66.7017,1.3332,1.09E+14
203.2049,-62.9064,1.3332,1.23E+14
209.9458,-59.3522,1.3332,1.34E+14
216.0442,-55.8179,1.3332,1.39E+14
219.7008,-53.9726,1.3332,1.38E+14
222.0032,-47.7273,1.3332,1.54E+14
189.9576,-68.1818,1.3332,9.84E+13
219.6717,-47.0395,1.3332,1.64E+14
222.0048,-40.9091,1.3332,1.80E+14
192.2236,-61.8704,1.3332,1.17E+14
196.1247,-59.6388,1.3332,1.28E+14
203.3018,-55.9955,1.3332,1.47E+14
209.8988,-52.4826,1.3332,1.60E+14
216.0241,-48.9763,1.3332,1.66E+14
189.9587,-61.3636,1.3332,1.14E+14
219.6824,-40.3529,1.3332,1.95E+14
222.0062,-34.0909,1.3332,2.13E+14
216.0119,-42.133,1.3332,2.00E+14
192.2757,-55.0595,1.3332,1.37E+14
196.4073,-52.5084,1.3332,1.54E+14
203.1178,-49.2132,1.3332,1.77E+14
211.285,-45.6291,1.3332,1.93E+14
189.9602,-54.5455,1.3332,1.34E+14
219.657,-33.6482,1.3332,2.34E+14
222.0054,-27.2727,1.3332,2.53E+14
215.8934,-35.3781,1.3332,2.47E+14
211.1832,-38.8212,1.3332,2.39E+14
192.3141,-48.3477,1.3332,1.62E+14
197.3981,-45.5378,1.3332,1.89E+14
203.4158,-42.4588,1.3332,2.18E+14
189.9619,-47.7273,1.3332,1.57E+14
219.9623,-26.4636,1.3332,2.87E+14
222.0018,-20.4545,1.3332,3.06E+14
216.0356,-28.1199,1.3332,3.15E+14
210.5293,-31.8799,1.3332,3.09E+14
202.3318,-35.8251,1.3332,2.73E+14
192.4603,-41.4774,1.3332,1.94E+14
196.6735,-39.2212,1.3332,2.27E+14
189.9633,-40.9091,1.3332,1.85E+14
219.8573,-19.2753,1.3332,3.67E+14
221.9991,-13.6364,1.3332,3.75E+14
215.7799,-21.6104,1.3332,4.10E+14
210.0962,-25.2283,1.3332,4.09E+14
202.8423,-28.9668,1.3332,3.59E+14
195.9758,-32.3694,1.3332,2.81E+14
191.941,-34.6593,1.3332,2.33E+14
219.7881,-12.3346,1.3332,4.77E+14
222.0033,-6.81818,1.3332,4.67E+14
189.964,-34.0909,1.3332,2.20E+14
215.4692,-14.6595,1.3332,5.65E+14
210.2386,-18.2215,1.3332,5.68E+14
203.0813,-22.2471,1.3332,4.89E+14
196.6459,-26.0634,1.3332,3.66E+14
192.2144,-29.6422,1.3332,2.74E+14
219.6024,-5.14641,1.3332,6.48E+14
222.0148,1.91E-16,1.3332,5.86E+14
215.0361,-8.00458,1.3332,8.00E+14
219.4983,2.490183,1.3332,8.98E+14
222.0262,6.615219,1.3332,7.25E+14
189.9628,-27.2727,1.3332,2.66E+14
209.8296,-11.4607,1.3332,8.19E+14
202.0674,-15.5079,1.3332,6.95E+14
196.5972,-19.4949,1.3332,4.94E+14
192.4975,-23.2681,1.3332,3.48E+14
214.9966,-0.86817,1.3332,1.15E+15
210.2339,-3.98588,1.3332,1.24E+15
219.3184,9.314523,1.3332,1.20E+15
222.0338,13.23044,1.3332,8.79E+14
215.3023,6.274621,1.3332,1.57E+15
189.9731,-20.4545,1.3332,3.29E+14
202.8027,-8.75389,1.3332,1.05E+15
196.6623,-12.8123,1.3332,7.09E+14
191.8972,-16.5502,1.3332,4.45E+14
220.0907,14.09705,1.3332,1.27E+15
222.036,19.84566,1.3332,1.04E+15
202.5041,-2.29452,1.3332,1.62E+15
209.3151,2.773683,1.3332,1.89E+15
201.8847,2.801813,1.3332,2.32E+15
215.9511,12.70725,1.3332,1.93E+15
210.2898,9.850513,1.3332,2.56E+15
220.2096,20.54752,1.3332,1.49E+15
222.0352,26.46087,1.3332,1.20E+15
220.2429,27.28102,1.3332,1.73E+15
222.0346,33.07609,1.3332,1.34E+15
189.4695,-13.6364,1.3332,4.06E+14
188.9296,-20.4545,1.3332,3.01E+14
195.8077,-6.46933,1.3332,1.02E+15
192.037,-9.94353,1.3332,6.26E+14
217.1411,19.63491,1.3332,2.17E+15
195.9743,0.045098,1.3332,1.74E+15
197.4232,5.20788,1.3332,2.89E+15
202.9822,7.657434,1.3332,3.09E+15
211.335,16.30488,1.3332,3.12E+15
205.5301,12.86797,1.3332,3.69E+15
220.4054,34.03825,1.3332,1.90E+15
222.0372,39.69131,1.3332,1.45E+15
220.4058,40.56718,1.3332,2.06E+15
217.4864,26.1063,1.3332,2.46E+15
217.7849,32.78022,1.3332,2.72E+15
188.8355,-6.81818,1.3332,4.66E+14
188.5156,-13.6364,1.3332,3.56E+14
187.8343,-13.6364,1.3332,3.22E+14
191.7976,-3.54781,1.3332,8.35E+14
213.0615,23.19437,1.3332,3.45E+15
191.8001,2.123946,1.3332,1.60E+15
194.0846,6.94914,1.3332,3.37E+15
198.8892,10.95568,1.3332,4.21E+15
206.0363,19.57427,1.3332,4.73E+15
200.3546,16.66286,1.3332,5.36E+15
222.0479,46.30653,1.3332,1.53E+15
220.4837,47.2096,1.3332,2.14E+15
217.8396,39.69212,1.3332,2.98E+15
217.9182,46.30496,1.3332,3.13E+15
212.9022,29.49045,1.3332,4.07E+15
214.1285,36.2138,1.3332,4.17E+15
206.2214,25.95461,1.3332,5.70E+15
188.7157,5.319441,1.3332,2.46E+15
192.0287,10.31526,1.3332,4.67E+15
194.8061,16.54951,1.3332,6.44E+15
198.9189,22.30807,1.3332,7.08E+15
222.072,52.92175,1.3332,1.56E+15
220.4455,53.95221,1.3332,2.20E+15
217.8111,52.9847,1.3332,3.26E+15
214.298,42.9653,1.3332,4.45E+15
214.5452,50.04762,1.3332,4.55E+15
180.3214,1.838726,1.3332,1.20E+15
173.6429,1.52421,1.3332,1.36E+15
173.6429,0.839015,1.3332,9.36E+14
207.4492,32.63146,1.3332,6.20E+15
208.9733,39.37965,1.3332,6.32E+15
183.058,3.948048,1.3332,1.97E+15
199.0661,29.01096,1.3332,8.53E+15
184.9922,8.805107,1.3332,4.68E+15
188.883,15.97092,1.3332,7.41E+15
191.9756,22.33396,1.3332,8.99E+15
193.972,26.07035,1.3332,9.49E+15
173.6429,2.483484,1.3332,2.03E+15
222.1284,59.53697,1.3332,1.53E+15
220.3905,60.88867,1.3332,2.20E+15
217.5146,59.34358,1.3332,3.35E+15
217.4614,67.17928,1.3332,3.21E+15
213.3149,56.58919,1.3332,5.08E+15
207.9345,46.25247,1.3332,7.18E+15
208.7376,53.11763,1.3332,7.03E+15
176.5551,5.118447,1.3332,3.55E+15
198.9238,35.63548,1.3332,9.85E+15
199.9958,42.43904,1.3332,1.03E+16
179.5185,9.704874,1.3332,5.99E+15
193.1954,31.00809,1.3332,1.11E+16
191.8499,35.28836,1.3332,1.26E+16
183.0291,15.14055,1.3332,8.23E+15
186.4665,22.68111,1.3332,1.07E+16
188.5009,27.65951,1.3332,1.19E+16
169.7213,5.555563,1.3332,4.43E+15
166.9643,3.007153,1.3332,2.70E+15
166.9643,1.951727,1.3332,1.88E+15
222.2186,66.15002,1.3332,1.46E+15
220.6417,68.84092,1.3332,1.99E+15
216.2046,72.81174,1.3332,3.40E+15
213.0078,63.94698,1.3332,5.05E+15
211.0922,70.47822,1.3332,5.42E+15
209.8259,76.4883,1.3332,5.31E+15
208.2732,60.09459,1.3332,7.15E+15
201.057,49.56559,1.3332,1.04E+16
201.7884,56.66484,1.3332,1.01E+16
173.0311,10.03375,1.3332,7.17E+15
192.6239,40.06132,1.3332,1.33E+16
192.8736,45.9679,1.3332,1.40E+16
187.9214,37.64428,1.3332,1.49E+16
175.973,16.12705,1.3332,1.04E+16
186.8597,32.38386,1.3332,1.40E+16
179.9119,22.55203,1.3332,1.28E+16
182.5133,27.47431,1.3332,1.40E+16
166.3578,8.90701,1.3332,7.45E+15
161.6749,5.034871,1.3332,4.76E+15
160.2857,3.002704,1.3332,3.05E+15
213.4361,84.20553,1.3332,3.28E+15
208.7983,85.8799,1.3332,4.31E+15
210.6403,81.26146,1.3332,4.43E+15
212.822,90.93864,1.3332,2.65E+15
222.7695,72.56102,1.3332,1.18E+15
223.1948,66.15002,1.3332,1.10E+15
216.1018,79.10513,1.3332,3.01E+15
220.5163,75.31228,1.3332,1.84E+15
219.4418,98.29008,1.3332,9.25E+14
215.0651,101.9222,1.3332,9.11E+14
216.0837,95.77504,1.3332,1.52E+15
210.5075,97.07653,1.3332,2.10E+15
208.8214,102.779,1.3332,1.19E+15
206.526,67.45746,1.3332,7.49E+15
205.9151,80.12439,1.3332,6.11E+15
205.1029,73.81001,1.3332,7.35E+15
200.3203,62.97458,1.3332,1.05E+16
198.8049,67.73797,1.3332,1.07E+16
193.3983,53.08165,1.3332,1.42E+16
193.2402,59.43926,1.3332,1.42E+16
206.1694,92.58458,1.3332,3.67E+15
202.8489,86.47435,1.3332,5.81E+15
170.0308,14.82933,1.3332,1.11E+16
186.569,49.89705,1.3332,1.76E+16
186.2919,42.9906,1.3332,1.69E+16
183.0724,37.55355,1.3332,1.72E+16
173.5617,21.48035,1.3332,1.43E+16
180.2185,32.55657,1.3332,1.69E+16
177.0759,28.02705,1.3332,1.64E+16
163.398,12.70263,1.3332,1.10E+16
159.47,7.772475,1.3332,7.48E+15
154.0228,4.525008,1.3332,4.93E+15
153.6071,2.999361,1.3332,3.40E+15
209.6694,105.2119,1.3332,6.59E+14
203.1771,105.0809,1.3332,9.70E+14
219.2554,102.195,1.3332,6.32E+14
216.1005,105.3369,1.3332,3.81E+14
222.5422,100.1733,1.3332,6.03E+14
218.1745,83.23014,1.3332,2.09E+15
217.5313,87.46599,1.3332,2.00E+15
217.9208,91.68208,1.3332,1.57E+15
223.374,78.32636,1.3332,8.78E+14
223.631,72.56102,1.3332,8.97E+14
224.2464,72.56102,1.3332,7.08E+14
221.4701,79.6787,1.3332,1.32E+15
223.0398,95.58106,1.3332,6.91E+14
221.2262,93.97416,1.3332,9.54E+14
204.0835,98.4597,1.3332,2.65E+15
201.8926,103.1785,1.3332,1.59E+15
196.6483,104.9796,1.3332,1.31E+15
199.3609,72.45669,1.3332,9.84E+15
199.5004,79.30947,1.3332,8.50E+15
192.8949,65.82729,1.3332,1.37E+16
192.8107,70.53853,1.3332,1.30E+16
187.0551,62.39917,1.3332,1.71E+16
186.8126,56.32348,1.3332,1.77E+16
199.9697,94.56578,1.3332,4.37E+15
196.7354,87.97165,1.3332,7.10E+15
166.9344,18.8649,1.3332,1.48E+16
181.3328,53.56778,1.3332,2.07E+16
180.8159,47.31016,1.3332,2.05E+16
180.3743,41.90708,1.3332,1.97E+16
176.9442,37.97442,1.3332,2.04E+16
170.5152,25.84312,1.3332,1.79E+16
174.3478,33.17332,1.3332,1.99E+16
160.3488,17.4406,1.3332,1.57E+16
156.9346,11.33794,1.3332,1.12E+16
153.3244,6.88631,1.3332,7.41E+15
147.7601,4.605925,1.3332,5.52E+15
146.9286,2.997369,1.3332,3.74E+15
222.4395,105.4395,1.3332,3.39E+14
223.4048,100.7494,1.3332,5.32E+14
221.2213,89.65038,1.3332,9.20E+14
223.5761,91.63856,1.3332,6.22E+14
223.7969,95.89446,1.3332,5.97E+14
197.3619,99.45349,1.3332,3.21E+15
196.2869,102.9213,1.3332,2.09E+15
190.0947,104.9565,1.3332,1.68E+15
