r,z,pressure,ne
166.9642857,1.951726562,2.6664,5.52E+15
60.10714286,1.952293058,2.6664,1.33E+16
46.75,1.953641479,2.6664,1.35E+16
53.42857143,1.953906892,2.6664,1.34E+16
33.39285714,1.955602015,2.6664,1.37E+16
191.8001421,2.123945735,2.6664,4.34E+15
173.6428571,2.483483932,2.6664,6.07E+15
219.4982918,2.490183468,2.6664,2.40E+15
209.3150995,2.773683388,2.6664,5.75E+15
201.8846884,2.801812959,2.6664,7.14E+15
0,2.828238549,2.6664,1.96E+16
6.678571429,2.828238549,2.6664,2.00E+16
13.35714286,2.862347955,2.6664,2.05E+16
20.03571429,2.930566766,2.6664,2.09E+16
140.25,2.996646325,2.6664,1.27E+16
133.5714286,2.996903963,2.6664,1.37E+16
146.9285714,2.997369485,2.6664,1.16E+16
126.8928571,2.997789413,2.6664,1.47E+16
120.2142857,2.99895771,2.6664,1.56E+16
153.6071429,2.999360968,2.6664,1.05E+16
113.5357143,3.000110943,2.6664,1.65E+16
106.8571429,3.001047239,2.6664,1.74E+16
26.71428571,3.001653388,2.6664,2.14E+16
100.1785714,3.001693204,2.6664,1.80E+16
93.5,3.002092316,2.6664,1.87E+16
86.82142857,3.002388845,2.6664,1.93E+16
160.2857143,3.002703875,2.6664,9.45E+15
80.14285714,3.002833134,2.6664,1.98E+16
73.46428571,3.003754703,2.6664,2.02E+16
40.07142857,3.004456373,2.6664,2.13E+16
66.78571429,3.005469508,2.6664,2.05E+16
166.9642857,3.007153471,2.6664,8.33E+15
60.10714286,3.008026309,2.6664,2.07E+16
46.75,3.010103909,2.6664,2.11E+16
53.42857143,3.010512848,2.6664,2.10E+16
33.39285714,3.013124636,2.6664,2.15E+16
183.0579565,3.948048381,2.6664,5.63E+15
3.973150503,4.002719909,2.6664,2.84E+16
14.92075556,4.123849469,2.6664,2.98E+16
34.3514048,4.248538037,2.6664,3.06E+16
21.12088286,4.249810813,2.6664,3.07E+16
8.300116187,4.304322671,2.6664,3.12E+16
27.84701587,4.310626435,2.6664,3.10E+16
40.9812225,4.370771601,2.6664,3.13E+16
94.3535766,4.460354082,2.6664,2.79E+16
47.53797376,4.478657142,2.6664,3.18E+16
74.21137952,4.495743195,2.6664,3.04E+16
54.42668768,4.504054399,2.6664,3.17E+16
87.68879245,4.505742863,2.6664,2.90E+16
100.9355997,4.518487768,2.6664,2.72E+16
127.6376,4.519882411,2.6664,2.20E+16
154.0228093,4.525007521,2.6664,1.57E+16
134.5396414,4.525465283,2.6664,2.05E+16
107.8398779,4.526612908,2.6664,2.61E+16
81.12268116,4.530539603,2.6664,3.00E+16
114.4117029,4.537800405,2.6664,2.50E+16
121.0813466,4.561276107,2.6664,2.37E+16
67.64506664,4.575852131,2.6664,3.14E+16
141.1095032,4.576186908,2.6664,1.91E+16
60.98319463,4.584778501,2.6664,3.19E+16
0,4.594050799,2.6664,3.24E+16
147.7601064,4.605925175,2.6664,1.76E+16
161.674881,5.034870503,2.6664,1.53E+16
176.5550866,5.11844689,2.6664,1.13E+16
197.4232002,5.207879975,2.6664,9.04E+15
188.7157205,5.319440847,2.6664,7.27E+15
169.7212662,5.555563082,2.6664,1.43E+16
14.68469236,5.990412773,2.6664,4.31E+16
4.568829957,5.992545412,2.6664,4.32E+16
215.3022989,6.274621367,2.6664,4.69E+15
20.740539,6.310623065,2.6664,4.58E+16
32.71445955,6.330161895,2.6664,4.57E+16
27.08901844,6.369789011,2.6664,4.61E+16
39.99264921,6.463278746,2.6664,4.64E+16
222.0262421,6.615218572,2.6664,1.79E+15
224.7283148,6.615218572,2.6664,5.89E+14
225,6.615218572,2.6664,4.80E+14
223.8154524,6.615218572,2.6664,9.87E+14
224.3479554,6.615218572,2.6664,7.54E+14
223.0699481,6.615218572,2.6664,1.32E+15
46.80245545,6.633297227,2.6664,4.73E+16
53.44620422,6.681818489,2.6664,4.72E+16
93.48066539,6.752290446,2.6664,4.25E+16
100.1621612,6.776046917,2.6664,4.11E+16
126.8830457,6.789992717,2.6664,3.34E+16
106.8474581,6.795262701,2.6664,3.96E+16
113.5282051,6.797289956,2.6664,3.77E+16
133.5582764,6.797494987,2.6664,3.11E+16
73.45406805,6.802464109,2.6664,4.62E+16
