% Model,2D_ICP_pressure_power_mph.mph,,,,,
% Version,COMSOL 6.0.0.405,,,,,
% Date,"Oct 23 2022, 22:04",,,,,
% Dimension,2,,,,,
% Nodes,3263,,,,,
% Expressions,5,,,,,
% Description,Electron density,,,,,
% Length unit,mm,,,,,
% r,z,plas.ne (1/m^3) @ 273: Time=0.1 s /  p0=6.6661 Pa /  Power=100 W,plas.ne (1/m^3) @ 273: Time=0.1 s /  p0=6.6661 Pa /  Power=200 W,plas.ne (1/m^3) @ 273: Time=0.1 s /  p0=6.6661 Pa /  Power=300 W,plas.ne (1/m^3) @ 273: Time=0.1 s /  p0=6.6661 Pa /  Power=400 W,plas.ne (1/m^3) @ 273: Time=0.1 s /  p0=6.6661 Pa /  Power=500 W
219.6230497,-150,3.17E+12,6.86E+12,1.06E+13,1.44E+13,1.81E+13
222.045279,-150,3.01E+12,6.52E+12,1.01E+13,1.36E+13,1.72E+13
219.6700944,-145.6239948,3.21E+12,6.94E+12,1.07E+13,1.45E+13,1.84E+13
209.6805416,-145.0052918,3.62E+12,7.82E+12,1.21E+13,1.64E+13,2.07E+13
205.7704535,-150,3.62E+12,7.82E+12,1.21E+13,1.64E+13,2.07E+13
214.7310774,-150,3.42E+12,7.40E+12,1.14E+13,1.55E+13,1.96E+13
215.9478343,-145.0802793,3.42E+12,7.39E+12,1.14E+13,1.55E+13,1.95E+13
202.273696,-145.0022084,3.64E+12,7.87E+12,1.22E+13,1.65E+13,2.08E+13
196.8098295,-150,3.46E+12,7.48E+12,1.16E+13,1.57E+13,1.98E+13
195.8875271,-144.9603026,3.47E+12,7.51E+12,1.16E+13,1.57E+13,1.98E+13
192.0724287,-150,3.23E+12,6.98E+12,1.08E+13,1.46E+13,1.84E+13
191.8868401,-144.6777018,3.27E+12,7.08E+12,1.09E+13,1.48E+13,1.87E+13
189.8662248,-150,3.09E+12,6.67E+12,1.03E+13,1.40E+13,1.76E+13
180.3214286,0,1.52E+14,3.12E+14,4.73E+14,6.33E+14,7.93E+14
187,0,1.46E+14,3.02E+14,4.58E+14,6.13E+14,7.69E+14
180.3214286,0.766136039,5.86E+14,1.33E+15,2.09E+15,2.85E+15,3.62E+15
187,-6.818181818,1.15E+14,2.39E+14,3.63E+14,4.87E+14,6.11E+14
187.7648119,-6.818181818,1.95E+14,4.25E+14,6.60E+14,8.96E+14,1.13E+15
225,78.326359,1.71E+14,3.59E+14,5.48E+14,7.38E+14,9.28E+14
225,83.2,1.77E+14,3.72E+14,5.69E+14,7.67E+14,9.64E+14
224.3224873,78.326359,4.23E+14,9.62E+14,1.52E+15,2.09E+15,2.66E+15
221.6133475,85.08916236,8.59E+14,1.92E+15,3.02E+15,4.14E+15,5.26E+15
225,87.8,1.76E+14,3.71E+14,5.68E+14,7.66E+14,9.64E+14
224.4067267,91.80365558,2.70E+14,5.98E+14,9.36E+14,1.28E+15,1.62E+15
225,91.92158293,1.68E+14,3.55E+14,5.44E+14,7.35E+14,9.26E+14
0,4.594050799,2.23E+16,4.38E+16,6.50E+16,8.60E+16,1.07E+17
0,2.828238549,1.31E+16,2.61E+16,3.90E+16,5.18E+16,6.45E+16
3.973150503,4.002719909,1.95E+16,3.83E+16,5.69E+16,7.54E+16,9.37E+16
4.568829957,5.992545412,3.01E+16,5.88E+16,8.70E+16,1.15E+17,1.43E+17
0,7.493953556,3.75E+16,7.30E+16,1.08E+17,1.43E+17,1.77E+17
0,11.69169824,5.91E+16,1.14E+17,1.69E+17,2.22E+17,2.76E+17
5.189005082,9.720912242,4.96E+16,9.62E+16,1.42E+17,1.87E+17,2.32E+17
5.365570751,16.15244298,8.22E+16,1.59E+17,2.33E+17,3.08E+17,3.81E+17
0,19.06657191,9.58E+16,1.84E+17,2.71E+17,3.57E+17,4.42E+17
5.420442549,23.84512276,1.18E+17,2.27E+17,3.34E+17,4.39E+17,5.43E+17
0,28.32417332,1.37E+17,2.62E+17,3.84E+17,5.05E+17,6.25E+17
5.468068794,33.91598093,1.59E+17,3.04E+17,4.45E+17,5.85E+17,7.23E+17
0,38.85257872,1.74E+17,3.31E+17,4.85E+17,6.37E+17,7.87E+17
5.492516059,43.80711828,1.86E+17,3.55E+17,5.20E+17,6.82E+17,8.43E+17
0,47.25481549,1.92E+17,3.66E+17,5.35E+17,7.01E+17,8.66E+17
5.515561311,50.58949206,1.96E+17,3.73E+17,5.45E+17,7.15E+17,8.84E+17
0,54.00065546,1.97E+17,3.75E+17,5.49E+17,7.20E+17,8.89E+17
5.528953915,57.34132426,1.97E+17,3.76E+17,5.49E+17,7.20E+17,8.90E+17
0,60.74685042,1.94E+17,3.71E+17,5.42E+17,7.11E+17,8.78E+17
5.541928835,64.07740455,1.90E+17,3.63E+17,5.31E+17,6.97E+17,8.61E+17
0,69.35626511,1.79E+17,3.43E+17,5.02E+17,6.58E+17,8.14E+17
5.712810543,70.93495596,1.76E+17,3.36E+17,4.92E+17,6.46E+17,7.98E+17
0,80.40561449,1.38E+17,2.65E+17,3.89E+17,5.12E+17,6.33E+17
5.744549729,84.94541048,1.21E+17,2.32E+17,3.41E+17,4.49E+17,5.56E+17
0,89.69560361,9.79E+16,1.89E+17,2.78E+17,3.66E+17,4.53E+17
5.608358413,92.30942719,8.57E+16,1.65E+17,2.44E+17,3.21E+17,3.97E+17
0,96.44802976,6.30E+16,1.22E+17,1.80E+17,2.37E+17,2.94E+17
0,105.3134856,1.43E+16,2.81E+16,4.16E+16,5.50E+16,6.83E+16
0,103.05152,2.68E+16,5.21E+16,7.70E+16,1.02E+17,1.26E+17
5.277939828,104.2292593,2.05E+16,4.00E+16,5.91E+16,7.81E+16,9.69E+16
0,100.7895543,3.94E+16,7.65E+16,1.13E+17,1.49E+17,1.85E+17
6.801637181,102.0471011,3.30E+16,6.41E+16,9.46E+16,1.25E+17,1.55E+17
5.687819811,98.176899,5.43E+16,1.05E+17,1.55E+17,2.05E+17,2.54E+17
222.0382643,-143.1818182,3.10E+12,6.71E+12,1.04E+13,1.41E+13,1.77E+13
218.5450081,-139.8883977,3.44E+12,7.44E+12,1.15E+13,1.56E+13,1.97E+13
222.0293454,-136.3636364,3.37E+12,7.29E+12,1.13E+13,1.53E+13,1.93E+13
206.046284,-140.0061204,3.83E+12,8.28E+12,1.28E+13,1.73E+13,2.19E+13
213.1497285,-139.965218,3.70E+12,7.99E+12,1.23E+13,1.67E+13,2.11E+13
215.4008188,-135.2883978,3.86E+12,8.34E+12,1.29E+13,1.74E+13,2.20E+13
219.1297557,-132.9288785,3.80E+12,8.20E+12,1.27E+13,1.72E+13,2.17E+13
222.0209937,-129.5454545,3.84E+12,8.29E+12,1.28E+13,1.73E+13,2.19E+13
199.1208826,-140.0314833,3.75E+12,8.10E+12,1.25E+13,1.70E+13,2.14E+13
202.739222,-135.8117977,4.06E+12,8.77E+12,1.35E+13,1.83E+13,2.32E+13
210.3602566,-134.1200217,4.12E+12,8.91E+12,1.38E+13,1.86E+13,2.35E+13
